model_id,runner,arch,language,audio_set_id,sample_count,run_count,median_elapsed_s,median_latency_per_10s,median_wer_pct,median_cer_pct,peak_rss_mb
mlx-whisper-large-v3-turbo,mlx_whisper,AR,en,elevenlabs_rachel_mixed,10,10,0.7603,0.5981,7.94,3.18,4170.2
mlx-whisper-large-v3-turbo,mlx_whisper,AR,en,live,10,10,0.7666,0.5752,7.94,3.18,2422.3
mlx-whisper-large-v3-turbo,mlx_whisper,AR,ru,elevenlabs_rachel_mixed,10,10,0.8004,0.724,16.26,8.92,4164.4
mlx-whisper-large-v3-turbo,mlx_whisper,AR,ru,live,10,10,0.8354,0.74,16.26,8.92,2414.7
mlx-whisper-large-v3-turbo,mlx_whisper,AR,ru,silero_v4_ru_xenia_48k,10,10,0.8129,1.1384,20.0,18.81,3317.8
mlx-whisper-medium,mlx_whisper,AR,all,elevenlabs_rachel_mixed,20,20,0.9476,0.7699,9.37,5.75,2605.2
mlx-whisper-medium,mlx_whisper,AR,all,live,20,20,1.0033,0.773,9.37,5.75,1976.5
mlx-whisper-medium,mlx_whisper,AR,all,silero_v4_ru_xenia_48k,10,10,0.9713,1.1875,20.74,18.55,2542.8
mlx-whisper-medium,mlx_whisper,AR,en,elevenlabs_rachel_mixed,10,10,0.8739,0.7077,6.44,2.55,2605.2
mlx-whisper-medium,mlx_whisper,AR,en,live,10,10,0.9604,0.7344,6.44,2.55,1976.5
mlx-whisper-medium,mlx_whisper,AR,ru,elevenlabs_rachel_mixed,10,10,1.1082,0.9078,13.94,9.39,2604.6
mlx-whisper-medium,mlx_whisper,AR,ru,live,10,10,1.0643,0.8618,13.94,9.39,1970.0
mlx-whisper-medium,mlx_whisper,AR,ru,silero_v4_ru_xenia_48k,10,10,0.9713,1.1875,20.74,18.55,2542.8
mlx-whisper-small,mlx_whisper,AR,all,elevenlabs_rachel_mixed,20,20,0.4412,0.3673,11.43,8.79,899.8
mlx-whisper-small,mlx_whisper,AR,all,live,20,20,0.4732,0.3681,11.43,8.79,901.7
mlx-whisper-small,mlx_whisper,AR,all,silero_v4_ru_xenia_48k,10,10,0.4399,0.5315,22.79,19.32,895.8
mlx-whisper-small,mlx_whisper,AR,en,elevenlabs_rachel_mixed,10,10,0.4412,0.3473,6.44,3.44,899.8
mlx-whisper-small,mlx_whisper,AR,en,live,10,10,0.4264,0.3501,6.44,3.44,901.7
mlx-whisper-small,mlx_whisper,AR,ru,elevenlabs_rachel_mixed,10,10,0.4432,0.3781,14.84,12.61,897.2
